===========================================
Hillcrest Motion Data Log

Date: April 20, 2022 at 11:44:09 AM MDT

Channel, Units
SAMPLE_ID, null
MOUSE, mickeys
LINEAR_ACCELERATION, m/s^2
LIN_ACC_NO_GRAVITY, m/s^2
ANGULAR_VELOCITY, rad/s
MAGNETOMETER, gauss
TEMPERATURE, degC
ANGULAR_POSITION, 
===========================================
Additional Info

Time elapsed: 13.6467922 seconds
First sample id: 684194
Last sample id: 685903
Total packets: 1709 packets
Dropped packets: 0 packets
Time of first lost packet: 0
Average sample rate: 125.23089492049274 Hz
===========================================
Timestamp (us),     SAMPLE_ID, MOUSE_x, MOUSE_y, LINEAR_ACCELERATION_x, LINEAR_ACCELERATION_y, LINEAR_ACCELERATION_z, LIN_ACC_NO_GRAVITY_x, LIN_ACC_NO_GRAVITY_y, LIN_ACC_NO_GRAVITY_z, ANGULAR_VELOCITY_x, ANGULAR_VELOCITY_y, ANGULAR_VELOCITY_z, MAGNETOMETER_x, MAGNETOMETER_y, MAGNETOMETER_z, TEMPERATURE, ANGULAR_POSITION_w, ANGULAR_POSITION_x, ANGULAR_POSITION_y, ANGULAR_POSITION_z, 
0,      684194,           0,           0,-0.501953125,-0.4970703125,  -9.9140625,0.0107421875,-0.0380859375,-0.0029296875,-0.001953125,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0257568359375,0.023193359375,-0.10638427734375,
8004,      684195,           0,           0,-0.5458984375,-0.4931640625,-9.8955078125,-0.033203125,-0.033203125,    0.015625,-0.001953125,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02581787109375,0.023193359375,-0.10638427734375,
15985,      684196,           0,           0,-0.548828125,-0.482421875,-9.9541015625,-0.0361328125,-0.021484375, -0.04296875,-0.001953125,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02581787109375,0.023193359375,-0.10638427734375,
24013,      684197,           0,           0,-0.5361328125,  -0.4921875,-9.943359375,  -0.0234375,    -0.03125,-0.0322265625, 0.001953125,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02587890625,0.023193359375,-0.10638427734375,
32052,      684198,           0,           0, -0.51171875, -0.48046875,-9.9248046875,0.0009765625,-0.0185546875,-0.013671875,           0,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02587890625,0.023193359375,-0.10638427734375,
40055,      684199,           0,           0,-0.5166015625,-0.4638671875,-9.912109375,-0.0029296875,-0.0009765625,-0.0009765625,-0.0009765625,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.023193359375,-0.10638427734375,
48053,      684200,           0,           0,-0.5166015625,-0.4658203125,-9.9267578125, -0.00390625,-0.0029296875,   -0.015625,-0.001953125,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.023193359375,-0.10638427734375,
56045,      684201,           0,           0,        -0.5,-0.4580078125,-9.8583984375,0.0126953125, 0.005859375, 0.052734375,-0.001953125,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.02313232421875,-0.10638427734375,
64072,      684202,           0,           0, -0.51953125, -0.48828125,-9.896484375,-0.0068359375,-0.0244140625,0.0146484375,-0.0029296875,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.02313232421875,-0.10638427734375,
72066,      684203,           0,           0,        -0.5,-0.4677734375,-9.8564453125, 0.013671875, -0.00390625,   0.0546875,-0.001953125,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.02313232421875,-0.10638427734375,
